"","model","year","expected","Ecov"
"571","fit3",1992,631461.614254092,"noise2"
"572","fit3",1993,489617.939756527,"noise2"
"573","fit3",1994,536099.086516223,"noise2"
"574","fit3",1995,568495.173885578,"noise2"
"575","fit3",1996,576278.75371018,"noise2"
"576","fit3",1997,558882.386498077,"noise2"
"577","fit3",1998,467794.04863981,"noise2"
"578","fit3",1999,369902.861012183,"noise2"
"579","fit3",2000,323710.75672471,"noise2"
"580","fit3",2001,226890.333403036,"noise2"
"581","fit3",2002,245569.146522669,"noise2"
"582","fit3",2003,305967.742551172,"noise2"
"583","fit3",2004,326757.412830155,"noise2"
"584","fit3",2005,303208.710430237,"noise2"
"585","fit3",2006,225487.445888453,"noise2"
"586","fit3",2007,169389.187648106,"noise2"
"587","fit3",2008,158737.917440606,"noise2"
"588","fit3",2009,180702.886434762,"noise2"
"589","fit3",2010,335034.854090009,"noise2"
"590","fit3",2011,380574.720754806,"noise2"
"591","fit3",2012,331812.550106638,"noise2"
"592","fit3",2013,615473.350024856,"noise2"
